Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1984","1984","kg/ha","875","X","Figure from external organization",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1985","1985","kg/ha","871","X","Figure from external organization",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1986","1986","kg/ha","862.1","X","Figure from external organization",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1987","1987","kg/ha","862.1","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1988","1988","kg/ha","862.1","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1989","1989","kg/ha","862.1","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1990","1990","kg/ha","866.7","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1991","1991","kg/ha","830.1","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1992","1992","kg/ha","800","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1993","1993","kg/ha","810","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1994","1994","kg/ha","814.8","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1995","1995","kg/ha","822","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1996","1996","kg/ha","821.7","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1997","1997","kg/ha","822.8","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1998","1998","kg/ha","823.8","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","1999","1999","kg/ha","827","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2000","2000","kg/ha","814.8","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2001","2001","kg/ha","814.8","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2002","2002","kg/ha","800","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2003","2003","kg/ha","862.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2004","2004","kg/ha","894.7","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2005","2005","kg/ha","814.8","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2006","2006","kg/ha","1000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2007","2007","kg/ha","1666.7","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2008","2008","kg/ha","1833.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2009","2009","kg/ha","1900","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2010","2010","kg/ha","3000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2011","2011","kg/ha","3000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2012","2012","kg/ha","3000","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2013","2013","kg/ha","2600","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2014","2014","kg/ha","2484.7","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2015","2015","kg/ha","2320.2","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2016","2016","kg/ha","2226.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2017","2017","kg/ha","1628","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2018","2018","kg/ha","1814.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2019","2019","kg/ha","1937.2","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2020","2020","kg/ha","1318.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2021","2021","kg/ha","1583.2","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2022","2022","kg/ha","1577.1","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2023","2023","kg/ha","1486.2","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0118","Millet","2024","2024","kg/ha","1460.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1961","1961","kg/ha","878","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1962","1962","kg/ha","885.7","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1963","1963","kg/ha","871.1","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1964","1964","kg/ha","915.6","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1965","1965","kg/ha","904.2","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1966","1966","kg/ha","886.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1967","1967","kg/ha","833.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1968","1968","kg/ha","911.1","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1969","1969","kg/ha","948.1","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1970","1970","kg/ha","953.6","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1971","1971","kg/ha","961.5","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1972","1972","kg/ha","980","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1973","1973","kg/ha","900","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1974","1974","kg/ha","960.6","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1975","1975","kg/ha","969.7","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1976","1976","kg/ha","965.7","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1977","1977","kg/ha","945.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1978","1978","kg/ha","973","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1979","1979","kg/ha","986.7","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1980","1980","kg/ha","988","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1981","1981","kg/ha","991.1","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1982","1982","kg/ha","970.7","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1983","1983","kg/ha","928.2","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1984","1984","kg/ha","943.6","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1985","1985","kg/ha","988.5","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1986","1986","kg/ha","939.2","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1987","1987","kg/ha","964.1","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1988","1988","kg/ha","914.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1989","1989","kg/ha","828.6","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1990","1990","kg/ha","986.1","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1991","1991","kg/ha","966.7","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1992","1992","kg/ha","945.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1993","1993","kg/ha","967.8","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1994","1994","kg/ha","972.4","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1995","1995","kg/ha","978.2","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1996","1996","kg/ha","985.1","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1997","1997","kg/ha","992.5","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1998","1998","kg/ha","999.7","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","1999","1999","kg/ha","1011","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2000","2000","kg/ha","1020.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2001","2001","kg/ha","1026.2","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2002","2002","kg/ha","1031.7","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2003","2003","kg/ha","1071.2","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2004","2004","kg/ha","1076.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2005","2005","kg/ha","1034.2","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2006","2006","kg/ha","1071.2","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2007","2007","kg/ha","1012.6","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2008","2008","kg/ha","1020","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2009","2009","kg/ha","943.4","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2010","2010","kg/ha","743.4","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2011","2011","kg/ha","827.2","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2012","2012","kg/ha","798.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2013","2013","kg/ha","809.6","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2014","2014","kg/ha","752.4","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2015","2015","kg/ha","742.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2016","2016","kg/ha","724.4","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2017","2017","kg/ha","688.4","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2018","2018","kg/ha","672.1","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2019","2019","kg/ha","657.6","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2020","2020","kg/ha","1638.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2021","2021","kg/ha","1554.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2022","2022","kg/ha","1554.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2023","2023","kg/ha","2077.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01709.90","Other pulses n.e.c.","2024","2024","kg/ha","2172.7","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","1961","1961","kg/ha","1519","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","1962","1962","kg/ha","1519","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","1963","1963","kg/ha","1519","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","1964","1964","kg/ha","1727.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","1965","1965","kg/ha","1727.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","1966","1966","kg/ha","1518","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","1967","1967","kg/ha","1922.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","1968","1968","kg/ha","1951.5","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","1969","1969","kg/ha","1975.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","1970","1970","kg/ha","1811.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","1971","1971","kg/ha","1750","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","1972","1972","kg/ha","1904.8","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","1973","1973","kg/ha","2000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","1974","1974","kg/ha","2000","A","Official figure",""
